TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
32.640000000,-440.04,67.7378,32.2829,5.19241,3.61749,-4.26162,-4.59356,-2.74427,-7.76795,-4.57222,9.83059,2.05095,-13.7113,-9.03685,6.10283,4.42721,-2.84722,-4.60966,-2.39532,0.47554,4.0631
32.661333333,-440.314,70.0132,37.4449,9.09656,6.28966,-1.48683,-1.30428,-2.56325,-9.10524,-3.00914,8.6205,-0.790172,-17.8305,-8.08368,8.07063,4.34823,-2.13485,-3.13237,-2.78397,-1.4193,5.95493
32.682666667,-440.384,66.8532,32.4012,7.49719,8.08544,-1.87028,-4.48212,-4.21473,-8.49105,-3.71357,8.27201,0.658955,-14.4321,-7.7629,7.18624,6.27214,-2.24078,-4.82519,-3.0441,-0.411137,2.3863
32.704000000,-442.109,66.7251,33.2237,6.40101,6.80851,-1.24931,-0.397515,-2.48552,-12.5421,-4.59313,6.3603,-2.60599,-17.4999,-7.39181,7.73947,6.21434,-3.85631,-4.66391,-3.33765,-3.18524,2.45572
32.725333333,-439.835,66.8322,33.0215,5.23995,4.35845,-1.70767,-1.83077,-4.0087,-9.29776,-6.10217,8.14758,0.206538,-17.122,-10.2352,7.5756,6.24099,-4.9021,-5.22132,-2.61107,-3.06485,1.94334
32.746666667,-440.874,67.008,33.5823,5.4633,4.21857,-1.49873,-2.34458,-4.23519,-9.21312,-5.1761,9.18789,3.97775,-11.9531,-7.98646,7.49791,5.82892,-2.05378,-3.58276,-2.15746,-2.19406,2.6491
32.768000000,-441.149,68.2789,36.6549,6.4423,5.80824,-2.39041,-5.10187,-7.02262,-11.9365,-5.56277,7.77648,1.25683,-16.3615,-9.82509,8.65207,6.89635,-2.47934,-2.60205,-1.71012,-3.45383,1.70836
32.789333333,-440.078,67.1539,30.6292,6.29143,7.00592,-2.70569,-1.14456,-2.83438,-9.06086,-6.0694,7.46314,2.35469,-13.623,-10.3433,6.12693,7.23882,-0.998212,-2.46426,-1.67943,-2.94726,1.9703
32.810666667,-440.285,67.3764,35.1822,7.91204,3.92091,-3.86231,-2.49076,-5.78602,-13.0986,-8.61997,8.40744,1.32054,-16.49,-11.2482,6.17846,5.19495,-2.06378,-2.365,-2.39265,-1.48241,4.95928
32.832000000,-442.313,65.8612,33.2797,6.84441,6.25658,-2.59989,-3.99176,-5.27361,-13.5112,-9.1329,7.05035,1.85255,-13.0181,-8.5024,6.90611,7.61228,-0.540172,-3.44746,-4.16615,-3.01157,4.70173
32.853333333,-441.261,69.5047,38.099,8.17816,7.23748,0.314543,-1.15502,-3.77585,-8.68564,-4.04037,8.8776,3.15653,-13.8318,-7.01189,7.42102,7.00869,-2.15759,-3.96175,-2.99082,-3.90914,1.81132
32.874666667,-442.866,68.6692,37.876,9.28613,4.85085,0.263709,-1.48762,-5.26663,-9.49898,-4.08158,7.2313,-0.065925,-14.1054,-7.48563,6.85928,5.62946,-1.1092,-2.94663,-4.24998,-1.26636,4.07147
32.896000000,-446.645,64.9709,35.5208,7.80578,4.84211,-0.198299,-3.49242,-5.88034,-9.13799,-3.13889,6.15048,-0.538541,-12.4868,-9.20589,3.85619,7.14362,0.827054,-4.02459,-4.19525,-0.966513,2.0601
32.917333333,-452.287,64.3622,38.781,7.31743,1.60881,-2.52868,-1.11763,-4.58458,-11.0298,-5.5772,7.51112,2.39039,-10.8956,-7.30212,5.15484,5.14916,-0.255555,-3.5304,-3.40028,-1.87832,0.724587
32.938666667,-442.622,65.556,35.6691,9.48099,6.07521,-2.71811,-2.68309,-5.49226,-9.15574,-6.52961,7.92817,1.37806,-15.988,-9.67302,5.72215,5.09671,-3.42082,-4.51863,-0.829459,-2.29757,0.867576
32.960000000,-449.478,65.1319,34.6971,5.27281,4.81692,-1.17053,-2.45769,-4.06678,-10.2684,-5.06621,7.09657,-0.430241,-16.3557,-9.67718,6.87917,6.94994,-2.21077,-4.35352,-2.68809,-3.88004,1.5197
32.981333333,-442.135,63.2252,30.2784,6.3878,6.7966,-2.67014,-7.68719,-6.64992,-10.0116,-7.269,7.22545,0.690841,-14.9463,-9.6222,6.53555,7.22695,-1.5656,-6.16316,-4.08808,-2.86389,1.16647
33.002666667,-444.363,64.2538,31.5934,9.36641,8.26276,-2.23049,-3.9144,-6.14055,-12.1808,-7.00167,9.15531,1.87546,-14.0404,-8.11643,7.57339,6.56683,-3.18556,-4.46505,-4.25641,-1.66292,3.10855
33.024000000,-441.699,66.151,32.69,8.36186,8.61059,0.0658726,0.0951755,-5.68412,-11.4903,-4.14589,8.47718,0.0287364,-15.1068,-8.21635,8.3705,4.52357,-3.45397,-5.11361,-5.38289,-6.44433,2.53159
33.045333333,-440.676,65.9678,35.8945,9.40106,6.51647,-1.14209,-2.327,-6.19273,-14.0168,-7.95457,7.2747,0.488581,-15.0395,-7.75873,7.38846,5.29117,-2.94226,-2.02661,-3.06415,-3.52554,3.39812
33.066666667,-445.818,64.7726,33.8734,8.16908,7.22942,-0.00444124,-1.99874,-3.98824,-10.4367,-4.05435,9.96265,2.82947,-13.3234,-5.53443,11.206,8.27839,-0.736206,-3.11322,-3.73148,-4.20629,1.2313
33.088000000,-445.429,66.0139,36.3482,10.7805,8.8217,2.78582,3.39867,-2.95637,-11.94,-6.46335,7.22114,-0.950972,-15.3277,-7.26008,6.99191,6.93766,-0.951252,-2.61522,-3.30783,-1.37713,3.9487
33.109333333,-446.287,64.5197,36.2215,9.26323,6.95842,0.0805686,-0.404697,-5.58192,-12.3624,-6.11045,11.1124,3.87584,-13.2005,-9.65214,6.29992,6.02617,-1.7789,-3.07873,-4.03467,-4.3727,0.685945
33.130666667,-444.39,68.0574,37.8652,9.27163,8.10371,1.64273,0.272425,-6.33665,-12.9886,-4.31143,7.21122,0.490732,-13.2315,-5.80435,8.27702,4.46683,-1.72574,-2.32352,-4.00051,-4.19014,1.9639
33.152000000,-445.654,67.4498,36.8545,7.74455,4.71349,1.77418,0.393886,-4.21713,-11.0215,-4.47676,5.1664,-0.447366,-13.5457,-10.2237,5.72905,5.19513,-2.83281,-4.29377,-1.31791,-2.70703,2.98453
33.173333333,-449.489,64.003,38.7991,10.6647,9.35022,3.61377,-0.861031,-5.0675,-8.76918,-0.135622,9.47287,-2.65811,-16.1787,-9.50458,7.46794,7.05448,-2.05651,-3.40103,-3.88747,-3.50429,1.5651
33.194666667,-444.976,65.1067,35.8548,9.19453,9.87672,2.95492,0.562335,-3.16883,-9.48595,-5.20801,8.58613,0.584464,-14.7552,-8.78507,7.99268,5.8711,-1.87022,-3.74416,-3.06303,-1.45579,3.18939
33.216000000,-445.729,61.1355,31.7165,6.35247,7.9219,-2.09792,-2.20903,-4.00048,-11.1329,-3.8748,7.41863,0.442916,-16.0012,-8.93507,8.856,5.97849,-3.00897,-5.98938,-0.955301,-0.813233,2.2705
33.237333333,-449.851,60.9828,32.6184,8.60929,9.24171,0.222771,-2.39741,-5.9298,-10.6257,-1.98415,11.1544,0.41789,-17.0657,-8.64502,8.65257,6.4791,-1.11452,-2.76105,-3.3438,-2.2573,4.02119
33.258666667,-443.75,63.9762,32.9437,10.2499,11.1651,3.15579,-2.45134,-5.24925,-9.25758,-5.99738,8.49337,2.50648,-15.1464,-9.99661,7.50499,6.78092,-2.25389,-5.00158,-4.82384,-3.02059,3.12367
33.280000000,-446.738,61.6372,31.6452,10.1963,10.8736,3.30823,-0.765125,-1.15342,-5.54768,-4.52626,8.48971,2.93356,-12.7782,-8.92052,7.10128,8.26107,-0.683427,-4.82323,-4.28699,-1.76526,4.34097
